Godot Engine v4.6.2.stable.official.71f334935 - https://godotengine.org

PASS: visual evidence res://production/playtests/frontend/title.png 1600x900
PASS: visual evidence res://production/playtests/frontend/hub.png 1600x900
PASS: visual evidence res://production/playtests/frontend/stages.png 1600x900
PASS: visual evidence res://production/playtests/frontend/loadout.png 1600x900
PASS: visual evidence res://production/playtests/frontend/inventory.png 1600x900
PASS: visual evidence res://production/playtests/frontend/spirit-beast.png 1600x900
PASS: visual evidence res://production/playtests/frontend/techniques.png 1600x900
PASS: visual evidence res://production/playtests/frontend/technique-upgrade.png 1600x900
PASS: visual evidence res://production/playtests/frontend/codex.png 1600x900
PASS: visual evidence res://production/playtests/frontend/achievements.png 1600x900
PASS: visual evidence res://production/playtests/frontend/settings.png 1600x900
PASS: visual evidence res://production/playtests/frontend/reset.png 1600x900
PASS: visual evidence res://production/playtests/frontend/results.png 1600x900
PASS: visual evidence res://production/playtests/frontend/results-defeat.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/gameplay-final.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/boss-final.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/upgrade-final.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/pause-final.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/victory-final.png 1600x900
PASS: visual evidence res://production/playtests/overhaul/defeat-final.png 1600x900
PASS: visual evidence res://production/playtests/vfx/sword-rank1.png 1600x900
PASS: visual evidence res://production/playtests/vfx/sword-rank5.png 1600x900
PASS: visual evidence res://production/playtests/vfx/jade-rank1.png 1600x900
PASS: visual evidence res://production/playtests/vfx/jade-rank5.png 1600x900
PASS: visual evidence res://production/playtests/vfx/qi-rank1.png 1600x900
PASS: visual evidence res://production/playtests/vfx/qi-rank5.png 1600x900
PASS: visual evidence res://production/playtests/frontend/title-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/hub-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/stages-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/loadout-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/inventory-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/spirit-beast-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/techniques-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/technique-upgrade-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/codex-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/achievements-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/settings-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/reset-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/results-phone.png 844x390
PASS: visual evidence res://production/playtests/frontend/results-defeat-phone.png 844x390
PASS: visual evidence res://production/playtests/mobile-support/combat-phone.png 844x390
PASS: visual evidence res://production/playtests/mobile-support/boss-phone.png 844x390
PASS: visual evidence res://production/playtests/mobile-support/breakthrough-phone.png 844x390
PASS: visual evidence res://production/playtests/mobile-support/pause-phone.png 844x390
PASS: visual evidence res://production/playtests/mobile-support/landscape-controls.png 1600x900
PASS: visual evidence res://production/playtests/mobile-support/portrait-overlay.png 900x1600
PASS: visual evidence res://production/playtests/responsive/hub-wide.png 2100x900
PASS: visual evidence res://production/playtests/responsive/combat-wide-touch.png 2100x900
PASS: visual evidence res://production/playtests/responsive/reset-wide.png 2100x900
VISUAL EVIDENCE RESULT: PASS; artifacts=49
